# Depth	gas_ageBP	CO2
149.1	2690	284.7
173.1	3897	272.7
177.4	4124	268.1
228.6	6735	262.2
250.3	7873	254.5
266	8670	259.6
302.6	10167	261.6
321.2	10983	263.7
331.6	11422	244.8
342.1	11881	238.3
365.5	13356	236.2
375.6	14010	225.2
443.5	20023	182.2
470.8	22827	189.2
506.4	25994	191.6
544.7	29063	188.5
554.2	30020	191.7
602.3	35009	205.3
625.6	37471	209.1
700.2	43500	209.1
765	47336	189.3
788.2	48854	188.4
800	49690	210.1
812.2	50663	215.7
834.8	52382	190.4
902.2	57088	221.7
912	57657	210.4
986.2	62859	195.3
1011.3	64939	191.4
1023.5	65939	194.9
1087.2	71049	227.3
1112.5	73227	229.1
1162.1	77150	217.1
1175	78183	221.7
1209.9	80614	230.9
1237.2	82417	241.1
1251.5	83333	236.4
1261.2	84016	228.0
1274.2	85020	214.2
1289.2	86181	217.0
1309.2	87917	208.0
1338.2	90357	224.2
1349	91249	228.3
1387.2	94353	232.0
1451.5	99849	225.8
1463.2	100837	230.8
1476.1	101749	236.9
1505	103465	228.1
1526.3	104704	236.9
1542.1	105636	230.6
1575.2	107579	238.2
1582.8	108153	245.6
1598	109804	251.2
1615	111862	256.7
1627.9	113262	266.3
1637.6	114096	261.4
1644	114601	274.5
1651	115118	273.2
1669.2	116501	262.5
1687.2	117750	267.6
1700.9	118649	273.7
1716	119672	271.9
1726.8	120382	265.2
1736.8	121017	277.6
1758.2	122344	272.1
1770	123070	276.4
1789.2	124213	268.7
1790	124257	266.6
1799	124789	266.3
1804	125081	279.7
1807	125262	273.0
1810	125434	277.1
1825.7	126347	273.7
1830	126598	267.1
1836	126886	262.5
1841.6	127132	262.6
1852.4	127622	275.3
1859	127907	275.6
1869.3	128344	274.0
1870	128372	287.1
1875.9	128609	286.8
1882.5	128866	282.6
1890	129146	264.1
1895	129340	263.4
1902	129652	257.9
1903.5	129736	259.0
1930	131329	245.0
1932	131455	240.4
1936	131728	228.9
1947	132492	223.5
1954.5	133069	223.9
1955	133105	220.3
1960	133427	210.6
1969.8	134123	208.9
1972	134287	203.7
1980.2	134960	204.5
1982	135114	200.4
1983	135207	198.0
1987.4	135603	198.0
1990.6	135883	201.7
1992	136011	200.7
1994.6	136251	202.4
1998	136567	195.8
1999	136655	201.1
2005.8	137293	194.3
2009.5	137633	193.4
2013	137982	194.2
2015	138185	190.2
2025.7	139275	192.3
2029	139617	196.5
2041	140899	195.6
2041.5	140960	196.4
2050.3	142058	190.4
2077.5	145363	196.9
2107.05	148831	203.0
2116	149803	191.9
2117	149921	188.9
2131.1	151423	200.6
2157	154480	189.0
2164	155395	185.5
2167.2	155813	187.5
2203	159562	204.3
2207.3	159943	196.5
2225	161679	191.6
2231.05	162228	190.1
2240.15	163024	186.7
2247	163698	183.8
2254.05	164439	196.6
2280	167183	197.8
2302	169492	197.7
2316.05	171351	196.0
2325	172434	190.3
2331.05	173135	189.4
2333	173394	190.1
2348	175306	207.7
2363	177139	213.2
2372	178179	217.7
2379.2	179117	198.1
2386	180068	199.7
2399	182046	203.4
2414	184685	210.7
2425	186697	231.3
2437	188436	231.4
2442.05	189076	220.3
2451	190352	218.0
2470.3	192910	226.5
2475	193481	220.0
2488.05	195017	226.4
2494.1	195673	241.2
2499	196179	242.6
2525	198972	250.9
2533	199918	239.1
2543	201163	247.6
2552.01	202413	244.4
2554.91	202874	231.9
2557.71	203317	232.2
2560.91	203837	228.6
2564.91	204480	226.3
2567.51	204908	229.4
2570.41	205362	231.4
2574.21	205952	238.1
2575.51	206144	237.2
2579.91	206810	230.0
2581.91	207120	240.5
2584.71	207544	242.2
2588.81	208064	244.6
2590.41	208254	243.9
2595.11	208803	247.2
2596.71	208995	252.0
2600.41	209432	246.9
2603.71	209817	239.5
2606.61	210154	257.4
2612.51	210813	243.4
2621.71	211858	251.2
2629.41	212716	241.4
2634.41	213270	240.3
2636.71	213536	242.6
2640.41	213984	247.5
2644.41	214459	251.7
2646.61	214794	251.1
2650.41	215382	245.3
2656.21	216352	240.5
2666.71	218361	214.1
2670.41	219116	216.1
2674.61	220058	207.1
2677.41	220739	208.8
2682.61	222030	205.6
2691.01	224269	203.3
2693.61	224923	215.7
2698.01	225909	235.5
2701.41	226711	234.5
2702.71	227027	233.1
2705.61	227776	224.5
2711.71	229423	232.4
2715.41	230422	233.9
2717.71	231066	241.6
2732.71	234817	245.2
2735.71	235480	252.1
2738.71	236114	241.4
2741.71	236734	247.4
2744.61	237294	243.1
2747.61	237868	239.1
2751.11	238558	245.6
2753.61	239013	245.8
2756.21	239477	247.4
2759.11	239973	252.8
2765.21	240945	259.7
2768.2	241366	263.2
2773.51	242007	279.0
2776.51	242346	280.2
2782.71	243071	263.7
2785.51	243429	252.3
2788.51	243856	249.9
2791.5	244347	236.7
2794.51	244864	230.4
2797.51	245441	219.4
2806.51	247681	214.7
2815.61	250133	200.2
2818.61	251005	213.9
2821.51	251864	195.4
2824.51	252739	196.7
2827.51	253636	195.4
2833.81	255498	199.0
2836.51	256309	201.9
2839.51	257100	204.0
2845.51	258661	203.9
2851.51	260353	209.6
2853.51	260916	205.7
2857.51	262092	208.9
2860.51	262930	214.6
2866.51	264509	228.1
2870.51	265653	199.9
2872.71	266326	211.7
2876.21	267442	188.7
2878.5	268181	187.2
2881.42	269154	194.2
2884.51	270222	198.8
2887.51	271256	184.7
2890.51	272311	190.4
2893.51	273310	193.9
2896.51	274321	194.1
2899.51	275350	198.4
2902.51	276326	193.2
2905.51	277361	202.2
2908.51	278350	204.5
2911.46	279320	211.0
2914.51	280269	215.3
2919.41	281758	223.7
2926.51	283785	231.3
2932.51	285380	228.0
2935.51	286128	226.4
2939.31	287036	231.4
2941.51	287538	230.4
2944.51	288233	231.0
2953.5	290153	234.9
2956.51	290730	220.4
2959.51	291367	217.1
2964.51	292405	207.6
2967.51	293057	206.0
2970.51	293779	206.7
2973.81	294568	212.7
2979.51	295930	213.1
2986.01	297921	217.1
2988.61	298741	224.4
2991.51	299621	231.0
2994.51	300472	236.1
2997.51	301402	239.0
3000.4	302280	236.0
3003.51	303226	240.2
3007.01	304232	240.7
3009.51	304901	250.2
3012.51	305655	248.6
3015.51	306547	244.8
3018.51	307495	225.8
3022.71	308744	227.8
3024.91	309389	226.2
3027.51	310168	233.2
3030.41	311013	237.8
3033.51	311868	239.0
3036.51	312676	241.9
3039.51	313414	251.6
3042.51	314144	256.7
3045.51	314867	257.1
3048.56	315572	246.8
3051.51	316200	272.6
3054.51	316897	251.6
3057.71	317734	245.2
3060.51	318559	233.4
3063.51	319480	255.8
3066.51	320358	249.2
3072.51	322015	257.2
3075.41	322767	260.4
3078.51	323526	260.3
3081.6	324280	260.5
3084.51	324971	266.2
3087.81	325720	264.0
3090.51	326321	266.1
3093.51	326972	270.1
3096.46	327590	271.9
3099.51	328221	275.1
3105.51	329475	265.0
3109.01	330208	271.7
3111.51	330740	272.6
3114.81	331438	273.1
3117.51	331944	282.4
3119.51	332285	289.1
3120.61	332462	288.4
3123.51	332919	298.6
3126.51	333380	278.1
3129.91	333890	285.8
3132.41	334261	278.6
3135.51	334748	270.5
3138.51	335287	255.7
3141.51	335918	241.9
3145.01	336725	239.6
3147.51	337391	234.2
3153.51	339298	250.1
3156.51	340456	200.7
3159.51	341802	205.2
3162.81	343282	204.8
3165.51	344446	211.9
3169.01	345980	220.3
3174.51	348298	221.1
3177.81	349688	216.2
3180.51	350925	209.4
3183.41	352275	209.2
3189.51	355302	193.0
3192.51	356898	186.1
3195.81	358712	185.8
3200.01	360957	201.2
3204.71	363385	206.3
3210.51	366235	201.9
3213.71	367856	199.9
3216.45	369446	214.7
3219.51	371090	224.6
3222.51	372646	229.6
3228.91	376568	227.0
3231.51	378096	240.0
3234.51	379696	239.1
3237.51	381132	246.8
3240.51	382670	245.8
3246.41	384534	258.1
3249.51	385398	264.6
3252.45	386144	259.2
3258.51	388062	255.2
3261.51	389946	250.1
3264.51	391896	266.3
3267.51	393591	274.6
3270.6	395116	277.1
3273.81	396636	278.0
3276.51	397911	288.9
3283.51	401109	279.6
3287.41	402769	281.2
3289.45	403609	283.6
3292.91	404968	276.2
3299.01	407442	285.5
3301.4	408475	286.9
3304.41	409750	277.6
3310.71	412453	274.6
3316.46	415167	275.7
3319.44	416545	279.9
3322.39	417391	278.0
3325.39	417923	276.3
3328.19	418544	276.5
3331.39	419934	266.6
3334.39	421443	274.0
3336.99	423207	273.2
3340.39	428394	229.7
3343.39	433925	199.0
3346.51	437580	201.5
3346.56	437601	207.8
3349.51	438986	205.9
